日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/01/03,15311364,6871973708,446.0,453.5,443.0,453.0,4.5,22581
112/01/04,20626874,9310050329,449.5,455.0,448.5,449.5,-3.5,18233
112/01/05,23972099,10972616269,459.0,459.5,455.0,458.5,9.0,20752
112/01/06,21313593,9745142549,455.0,459.5,455.0,458.5,0.0,16635
112/01/09,49186355,23352375299,468.0,481.0,467.5,481.0,22.5,57305
112/01/10,34785370,16867391241,486.0,487.0,483.0,486.0,5.0,36975
112/01/11,21749124,10531314878,487.0,488.0,482.0,484.5,-1.5,25457
112/01/12,22416984,10901640739,487.5,488.0,484.0,486.5,2.0,25780
112/01/13,81848755,41113175651,507.0,509.0,499.0,500.0,13.5,93121
112/01/16,38781925,19573968332,506.0,508.0,503.0,505.0,5.0,48051
112/01/17,29443522,14784661794,504.0,504.0,499.5,503.0,-2.0,27930
112/01/30,148413161,80057158264,542.0,543.0,534.0,543.0,40.0,153125
112/01/31,79212272,41736937234,537.0,538.0,521.0,522.0,-21.0,74279
112/02/01,42539626,22450948467,532.0,533.0,522.0,530.0,8.0,31487
112/02/02,46523592,25091483557,538.0,542.0,537.0,540.0,10.0,45495
112/02/03,34156234,18439613447,540.0,542.0,536.0,542.0,2.0,39674
112/02/06,32208918,17041821849,532.0,533.0,526.0,526.0,-16.0,46279
112/02/07,24362116,12767910080,524.0,528.0,522.0,523.0,-3.0,28519
112/02/08,37633169,20247927642,538.0,540.0,534.0,540.0,17.0,43495
112/02/09,22311345,12026317167,540.0,540.0,536.0,540.0,0.0,19698
112/02/10,30445088,16545221176,544.0,546.0,541.0,545.0,5.0,40984
112/02/13,23903151,12921896752,544.0,544.0,538.0,541.0,-4.0,22431
112/02/14,23855974,12990943260,544.0,546.0,543.0,545.0,4.0,27983
112/02/15,66068713,34751111404,526.0,532.0,522.0,525.0,-20.0,103433
112/02/16,33509968,17692691883,528.0,531.0,524.0,528.0,3.0,27033
112/02/17,29673053,15385668299,524.0,524.0,516.0,518.0,-10.0,55965
112/02/20,21181235,10928087780,514.0,519.0,511.0,517.0,-1.0,25898
112/02/21,15097509,7771141142,515.0,517.0,513.0,516.0,-1.0,27200
112/02/22,26578867,13474662693,506.0,509.0,505.0,507.0,-9.0,47843
112/02/23,26801677,13846782345,512.0,521.0,510.0,518.0,11.0,26552
112/02/24,48372303,24932422713,524.0,525.0,511.0,511.0,-7.0,29612
112/03/01,45971058,23624972884,504.0,522.0,504.0,522.0,+11.00,31738
112/03/02,18017085,9344352321,519.0,520.0,515.0,519.0,-3.00,14320
112/03/03,24117189,12510608773,524.0,525.0,516.0,516.0,-3.00,22160
112/03/06,24741125,12883854256,520.0,524.0,517.0,521.0,+5.00,20678
112/03/07,27650283,14465320023,521.0,526.0,519.0,524.0,+3.00,20595
112/03/08,27077587,14091713576,521.0,523.0,518.0,521.0,-3.00,20504
112/03/09,25639391,13430582677,525.0,526.0,522.0,522.0,+1.00,16497
112/03/10,25572403,13122265260,515.0,516.0,511.0,513.0,-9.00,46216
112/03/13,22568740,11608973891,513.0,518.0,509.0,516.0,+3.00,24150
112/03/14,26599476,13602260966,511.0,514.0,510.0,510.0,-6.00,24848
112/03/15,24080361,12350942139,515.0,516.0,510.0,511.0,+1.00,21075
112/03/16,23325664,11809911840,505.0,510.0,504.0,505.0,X0.00,33493
112/03/17,35872881,18538033584,516.0,518.0,513.0,518.0,+13.00,21217
112/03/20,12752221,6542889562,517.0,518.0,510.0,512.0,-6.00,17709
112/03/21,18519120,9534730452,515.0,517.0,512.0,517.0,+5.00,14094
112/03/22,45681056,24168561556,524.0,533.0,524.0,533.0,+16.00,56483
112/03/23,28614856,15307492846,528.0,539.0,528.0,538.0,+5.00,35313
112/03/24,22963771,12348311773,536.0,539.0,535.0,539.0,+1.00,24762
112/03/27,17170557,9148085033,533.0,536.0,531.0,531.0,-8.00,17484
112/03/28,18327556,9629323504,525.0,530.0,524.0,525.0,-6.00,20744
112/03/29,17620195,9329137251,533.0,533.0,525.0,530.0,+5.00,15653
112/03/30,20380650,10894446851,536.0,537.0,531.0,535.0,+5.00,18171
112/03/31,24324776,12997575231,538.0,538.0,532.0,533.0,-2.00,15962
112/04/06,26706549,14130223516,530.0,531.0,526.0,530.0,-3.0,19144
112/04/07,11114272,5903807797,535.0,535.0,529.0,531.0,1.0,10285
112/04/10,8203168,4350907176,533.0,533.0,528.0,529.0,-2.0,11698
112/04/11,23087326,12101146147,522.0,527.0,522.0,524.0,-5.0,24432
112/04/12,24772925,12870788209,523.0,524.0,517.0,520.0,-4.0,37158
112/04/13,27501436,14121978133,515.0,517.0,510.0,510.0,-10.0,64834
112/04/14,21174653,10936462759,516.0,520.0,513.0,516.0,6.0,19962
112/04/17,17895837,9264789087,519.0,520.0,514.0,520.0,4.0,17444
112/04/18,15687059,8097905529,518.0,520.0,514.0,515.0,-5.0,17087
112/04/19,23209923,11881404238,517.0,518.0,509.0,510.0,-5.0,43281
112/04/20,21002685,10780268259,512.0,516.0,510.0,513.0,3.0,16627
112/04/21,25440179,13103618008,520.0,520.0,510.0,511.0,-2.0,22738
112/04/24,17579661,8903570323,505.0,510.0,504.0,507.0,-4.0,31635
112/04/25,40916105,20495640143,504.0,505.0,498.0,498.0,-9.0,92009
112/04/26,33174539,16353670134,498.0,498.5,491.0,491.5,-6.5,58580
112/04/27,34149043,16816693302,491.0,495.0,489.0,493.5,2.0,47699
112/04/28,38812949,19433015577,498.5,502.0,498.0,502.0,8.5,23746
112/05/02,17142380,8572554842,500.0,502.0,496.5,501.0,-1.0,18247
112/05/03,12694698,6305914905,496.0,498.0,495.0,496.0,-5.0,25658
112/05/04,13699933,6818128036,497.0,499.5,496.0,498.0,2.0,14801
112/05/05,7898012,3949232374,500.0,502.0,498.5,500.0,2.0,10944
112/05/08,11737287,5932968954,509.0,509.0,502.0,504.0,4.0,13709
112/05/09,18762778,9530653802,507.0,510.0,505.0,510.0,6.0,17452
112/05/10,19385820,9753130414,508.0,508.0,500.0,503.0,-7.0,26320
112/05/11,13775130,6894746011,506.0,506.0,498.5,499.0,-4.0,20237
112/05/12,20746928,10313384387,496.0,500.0,495.0,496.0,-3.0,27989
112/05/15,15548031,7721867966,497.0,499.5,494.5,495.5,-0.5,16896
112/05/16,24052785,12131536763,503.0,508.0,500.0,505.0,9.5,22355
112/05/17,44352410,22870340267,508.0,521.0,506.0,519.0,14.0,52663
112/05/18,46107848,24437734052,533.0,536.0,526.0,530.0,11.0,50359
112/05/19,34742592,18476363730,535.0,535.0,529.0,532.0,2.0,39104
112/05/22,19037508,10100912410,532.0,533.0,529.0,531.0,-1.0,18796
112/05/23,20126817,10638352410,530.0,531.0,525.0,530.0,-1.0,15826
