年度,月份,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
112,1,543.0,443.0,503.89,620224,295818406287,587061398,2.26
112,2,546.0,505.0,528.52,689581,309306651656,585222538,2.25
112,3,539.0,504.0,521.62,553866,301284346249,577588001,2.22
112,4,535.0,489.0,510.55,558359,209545888337,410428309,1.58
112,5,574.0,494.5,537.09,745122,393524810874,732697640,2.82
112,6,594.0,550.0,575.03,537092,310727384109,540361738,2.08
112,7,591.0,557.0,573.2,551359,264023369502,460611696,1.77
112,8,569.0,534.0,550.22,558741,266301238063,483988753,1.86
112,9,558.0,516.0,537.48,688974,247845669660,461116932,1.77
112,10,556.0,519.0,539.91,528730,298270775104,552436073,2.13
112,11,585.0,527.0,569.36,549865,330825818397,581045322,2.24
112,12,593.0,566.0,579.92,501007,352850926043,608441970,2.34
