日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/06/01,25257673,13920836412,550.0,554.0,550.0,551.0,-7.00,25441
112/06/02,34705102,19460144774,559.0,564.0,557.0,562.0,+11.00,30644
112/06/05,17483804,9730882750,560.0,560.0,555.0,555.0,-7.00,20211
112/06/06,21562088,12043550635,554.0,562.0,553.0,560.0,+5.00,15551
112/06/07,29091913,16449319451,561.0,568.0,560.0,568.0,+8.00,29548
112/06/08,25250687,14190442437,562.0,568.0,555.0,559.0,-9.00,27238
112/06/09,19776199,11160654540,561.0,566.0,561.0,565.0,+6.00,16713
112/06/12,28656646,16431644333,574.0,574.0,571.0,574.0,+9.00,38130
112/06/13,62671781,37077358748,593.0,594.0,589.0,593.0,+19.00,84903
112/06/14,25981992,15311616372,590.0,591.0,587.0,590.0,-3.00,28171
112/06/15,29868798,17618169127,590.0,593.0,587.0,591.0,X0.00,28303
112/06/16,41560389,24417862365,590.0,590.0,584.0,589.0,-2.00,27450
112/06/19,14883308,8682282040,583.0,585.0,582.0,583.0,-6.00,18979
112/06/20,17013418,9902274410,579.0,585.0,579.0,583.0,0.00,17658
112/06/21,23718735,13782152333,582.0,585.0,578.0,581.0,-2.00,25132
112/06/26,29870090,17192208130,576.0,578.0,574.0,574.0,-7.00,28167
112/06/27,22447417,12847067878,570.0,575.0,569.0,572.0,-2.00,20736
112/06/28,18684508,10734873692,579.0,579.0,571.0,574.0,+2.00,15939
112/06/29,18046268,10372330946,578.0,580.0,570.0,573.0,-1.00,17649
112/06/30,33830922,19401712736,570.0,576.0,568.0,576.0,+3.00,20529
